TYPE1
PD
PD
PD
PD
N
PD
PD
PD
PD
HD
SH
PD
PD
PD
PD
PD
PD
SH
PD
PD
PD
SH
HD
PD
PD
SH
PD
SH
PD
A
SH
N
HD
PD
SH
A
PD
A
PD
PD
PD
PD
PD
PD
PD
SH
SH
PD
SH
PD
SH
PD
PD
PD
PD
PD
HD
PD
PD
SH
A
HD
A
PD
HD
PD
PD
PD
N
PD
PD
PD
PD
PD
PD
PD
PD
SH
HD
A
PD
PD
PD
PD
PD
HD
HD
A
HD
SH
PD
PD
PD
PD
HD
PD
SH
PD
SH
SH
PD
PD
SH
PD
PD
SH
PD
PD
PD
PD
HD
PD
PD
N
N
SH
PD
PD
HD
A
PD
PD
PD
HD
PD
N
SH
PD
PD
PD
SH
PD
PD
PD
PD
A
N
HD
HD
PD
PD
PD
SH
HD
A
A
SH
PD
PD
SH
PD
PD
A
A
A
PD
PD
PD
A
PD
A
A
PD
PD
PD
PD
PD
PD
HD
A
HD
PD
PD
PD
PD
PD
PD
PD
PD
PD
PD
HD
PD
SH
PD
SH
PD
SH
PD
SH
PD
PD
PD
PD
PD
HD
PD
PD
N
SH
PD
PD
HD
A
HD
PD
PD
N
PD
PD
SH
PD
SH
HD
SH
PD
PD
PD
SH
A
PD
A
PD
A
PD
SH
PD
SH
PD
A
PD
PD
PD
PD
SH
A
A
PD
PD
PD
SH
A
A
N
PD
HD
PD
N
HD
A
PD
PD
PD
PD
SH
SH
PD
PD
PD
PD
PD
PD
N
PD
SH
SH
SH
PD
PD
PD
PD
PD
PD
PD
PD
N
PD
PD
PD
A
PD
SH
PD
HD
PD
PD
SH
PD
HD
PD
HD
PD
PD
PD
PD
PD
PD
PD
PD
PD
A
PD
PD
A
PD
PD
A
HD
PD
PD
PD
PD
N
PD
PD
PD
PD
A
N
HD
HD
HD
PD
HD
