age
40-60
25-40
40-60
40-60
over 60
25-40
over 60
25-40
over 60
25-40
25-40
25-40
25-40
25-40
25-40
25-40
25-40
40-60
over 60
25-40
40-60
over 60
25-40
25-40
25-40
40-60
25-40
25-40
40-60
40-60
40-60
25-40
25-40
25-40
14-25
25-40
40-60
25-40
25-40
25-40
40-60
40-60
14-25
over 60
25-40
40-60
25-40
over 60
25-40
over 60
25-40
25-40
40-60
14-25
over 60
over 60
40-60
40-60
over 60
25-40
40-60
40-60
over 60
over 60
40-60
over 60
14-25
40-60
40-60
40-60
25-40
over 60
40-60
40-60
40-60
over 60
25-40
25-40
40-60
40-60
40-60
25-40
14-25
40-60
over 60
over 60
over 60
40-60
40-60
25-40
25-40
25-40
25-40
25-40
14-25
14-25
25-40
25-40
14-25
25-40
40-60
40-60
40-60
over 60
40-60
25-40
40-60
over 60
over 60
14-25
14-25
40-60
25-40
25-40
40-60
40-60
over 60
40-60
40-60
40-60
40-60
40-60
40-60
40-60
40-60
over 60
40-60
40-60
40-60
over 60
40-60
40-60
over 60
over 60
over 60
over 60
over 60
25-40
over 60
over 60
40-60
40-60
over 60
40-60
40-60
over 60
25-40
40-60
25-40
40-60
40-60
25-40
over 60
40-60
25-40
over 60
over 60
over 60
over 60
over 60
14-25
over 60
over 60
40-60
over 60
14-25
14-25
14-25
over 60
14-25
25-40
14-25
25-40
over 60
25-40
40-60
40-60
40-60
25-40
over 60
over 60
40-60
40-60
over 60
over 60
over 60
40-60
40-60
40-60
over 60
over 60
over 60
40-60
over 60
over 60
over 60
40-60
40-60
25-40
40-60
40-60
over 60
40-60
40-60
14-25
over 60
40-60
40-60
40-60
25-40
25-40
over 60
40-60
25-40
over 60
40-60
over 60
40-60
over 60
40-60
25-40
25-40
40-60
40-60
over 60
25-40
40-60
over 60
over 60
over 60
over 60
25-40
40-60
over 60
40-60
40-60
14-25
over 60
over 60
over 60
25-40
over 60
40-60
40-60
over 60
40-60
40-60
14-25
14-25
25-40
25-40
over 60
40-60
40-60
40-60
40-60
over 60
40-60
25-40
over 60
over 60
14-25
14-25
25-40
14-25
25-40
25-40
40-60
14-25
14-25
40-60
14-25
over 60
over 60
over 60
over 60
25-40
25-40
over 60
over 60
14-25
over 60
40-60
over 60
over 60
40-60
40-60
25-40
14-25
over 60
40-60
14-25
25-40
14-25
14-25
14-25
14-25
14-25
over 60
40-60
25-40
40-60
40-60
over 60
40-60
over 60
40-60
25-40
over 60
40-60
14-25
14-25
14-25
14-25
14-25
over 60
over 60
40-60
14-25
14-25
14-25
14-25
40-60
over 60
